,1,2,3,4,5,6,7,8,9,10,baseline
0,0.72,0.762,0.772,0.792,0.78,0.794,0.804,0.802,0.886,0.904,0.904
1,0.752,0.752,0.752,0.752,0.752,0.756,0.756,0.766,0.768,0.766,0.766
2,0.506,0.796,0.79,0.816,0.91,0.936,0.944,0.944,0.942,0.942,0.95
3,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
4,0.37,0.37,0.398,0.428,0.458,0.434,0.474,0.634,0.898,0.926,0.926
5,0.522,0.536,0.608,0.6,0.608,0.616,0.72,0.73,0.816,0.942,0.942
6,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
7,0.35,0.406,0.412,0.422,0.424,0.47,0.498,0.706,0.914,0.91,0.914
8,0.296,0.304,0.324,0.316,0.358,0.49,0.644,0.638,0.936,0.95,0.952
9,0.466,0.5,0.52,0.54,0.536,0.548,0.546,0.558,0.672,0.67,0.672
